姓名,类型1,类型2,总计,生命值,攻击力,防御力,速度,时代
Bulbasaur,Grass,Poison,318,45,49,49,45,1
Ivysaur,Grass,Poison,405,60,62,63,60,1
Venusaur,Grass,Poison,525,80,82,83,80,1
VenusaurMega Venusaur,Grass,Poison,625,80,100,123,80,1
Charmander,Fire,,309,39,52,43,65,1
Charmeleon,Fire,,405,58,64,58,80,1
Charizard,Fire,Flying,534,78,84,78,100,1
CharizardMega Charizard X,Fire,Dragon,634,78,130,111,100,1
CharizardMega Charizard Y,Fire,Flying,634,78,104,78,100,1
Squirtle,Water,,314,44,48,65,43,1
Wartortle,Water,,405,59,63,80,58,1
Blastoise,Water,,530,79,83,100,78,1
BlastoiseMega Blastoise,Water,,630,79,103,120,78,1
Caterpie,Bug,,195,45,30,35,45,1
Metapod,Bug,,205,50,20,55,30,1
Butterfree,Bug,Flying,395,60,45,50,70,1
Weedle,Bug,Poison,195,40,35,30,50,1
Kakuna,Bug,Poison,205,45,25,50,35,1
Beedrill,Bug,Poison,395,65,90,40,75,1
BeedrillMega Beedrill,Bug,Poison,495,65,150,40,145,1
Pidgey,Normal,Flying,251,40,45,40,56,1
Pidgeotto,Normal,Flying,349,63,60,55,71,1
Pidgeot,Normal,Flying,479,83,80,75,101,1
PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,121,1
Rattata,Normal,,253,30,56,35,72,1
Raticate,Normal,,413,55,81,60,97,1
Spearow,Normal,Flying,262,40,60,30,70,1
Fearow,Normal,Flying,442,65,90,65,100,1
Ekans,Poison,,288,35,60,44,55,1
Arbok,Poison,,438,60,85,69,80,1
Pikachu,Electric,,320,35,55,40,90,1
Raichu,Electric,,485,60,90,55,110,1
Sandshrew,Ground,,300,50,75,85,40,1
Sandslash,Ground,,450,75,100,110,65,1
Nidoran♀,Poison,,275,55,47,52,41,1
Nidorina,Poison,,365,70,62,67,56,1
Nidoqueen,Poison,Ground,505,90,92,87,76,1
Nidoran♂,Poison,,273,46,57,40,50,1
Nidorino,Poison,,365,61,72,57,65,1
Nidoking,Poison,Ground,505,81,102,77,85,1
Clefairy,Fairy,,323,70,45,48,35,1
Clefable,Fairy,,483,95,70,73,60,1
Vulpix,Fire,,299,38,41,40,65,1
Ninetales,Fire,,505,73,76,75,100,1
Jigglypuff,Normal,Fairy,270,115,45,20,20,1
Wigglytuff,Normal,Fairy,435,140,70,45,45,1
Zubat,Poison,Flying,245,40,45,35,55,1
Golbat,Poison,Flying,455,75,80,70,90,1
Oddish,Grass,Poison,320,45,50,55,30,1
Gloom,Grass,Poison,395,60,65,70,40,1
Vileplume,Grass,Poison,490,75,80,85,50,1
Paras,Bug,Grass,285,35,70,55,25,1
Parasect,Bug,Grass,405,60,95,80,30,1
Venonat,Bug,Poison,305,60,55,50,45,1
Venomoth,Bug,Poison,450,70,65,60,90,1
Diglett,Ground,,265,10,55,25,95,1
Dugtrio,Ground,,405,35,80,50,120,1
Meowth,Normal,,290,40,45,35,90,1
Persian,Normal,,440,65,70,60,115,1
Psyduck,Water,,320,50,52,48,55,1
Golduck,Water,,500,80,82,78,85,1
Mankey,Fighting,,305,40,80,35,70,1
Primeape,Fighting,,455,65,105,60,95,1
Growlithe,Fire,,350,55,70,45,60,1
Arcanine,Fire,,555,90,110,80,95,1
Poliwag,Water,,300,40,50,40,90,1
Poliwhirl,Water,,385,65,65,65,90,1
Poliwrath,Water,Fighting,510,90,95,95,70,1
Abra,Psychic,,310,25,20,15,90,1
Kadabra,Psychic,,400,40,35,30,105,1
Alakazam,Psychic,,500,55,50,45,120,1
AlakazamMega Alakazam,Psychic,,590,55,50,65,150,1
Machop,Fighting,,305,70,80,50,35,1
Machoke,Fighting,,405,80,100,70,45,1
Machamp,Fighting,,505,90,130,80,55,1
Bellsprout,Grass,Poison,300,50,75,35,40,1
Weepinbell,Grass,Poison,390,65,90,50,55,1
Victreebel,Grass,Poison,490,80,105,65,70,1
Tentacool,Water,Poison,335,40,40,35,70,1
Tentacruel,Water,Poison,515,80,70,65,100,1
Geodude,Rock,Ground,300,40,80,100,20,1
Graveler,Rock,Ground,390,55,95,115,35,1
Golem,Rock,Ground,495,80,120,130,45,1
Ponyta,Fire,,410,50,85,55,90,1
Rapidash,Fire,,500,65,100,70,105,1
Slowpoke,Water,Psychic,315,90,65,65,15,1
Slowbro,Water,Psychic,490,95,75,110,30,1
SlowbroMega Slowbro,Water,Psychic,590,95,75,180,30,1
Magnemite,Electric,Steel,325,25,35,70,45,1
Magneton,Electric,Steel,465,50,60,95,70,1
Farfetch'd,Normal,Flying,352,52,65,55,60,1
Doduo,Normal,Flying,310,35,85,45,75,1
Dodrio,Normal,Flying,460,60,110,70,100,1
Seel,Water,,325,65,45,55,45,1
Dewgong,Water,Ice,475,90,70,80,70,1
Grimer,Poison,,325,80,80,50,25,1
Muk,Poison,,500,105,105,75,50,1
Shellder,Water,,305,30,65,100,40,1
Cloyster,Water,Ice,525,50,95,180,70,1
Gastly,Ghost,Poison,310,30,35,30,80,1
Haunter,Ghost,Poison,405,45,50,45,95,1
Gengar,Ghost,Poison,500,60,65,60,110,1
GengarMega Gengar,Ghost,Poison,600,60,65,80,130,1
Onix,Rock,Ground,385,35,45,160,70,1
Drowzee,Psychic,,328,60,48,45,42,1
Hypno,Psychic,,483,85,73,70,67,1
Krabby,Water,,325,30,105,90,50,1
Kingler,Water,,475,55,130,115,75,1
Voltorb,Electric,,330,40,30,50,100,1
Electrode,Electric,,480,60,50,70,140,1
Exeggcute,Grass,Psychic,325,60,40,80,40,1
Exeggutor,Grass,Psychic,520,95,95,85,55,1
Cubone,Ground,,320,50,50,95,35,1
Marowak,Ground,,425,60,80,110,45,1
Hitmonlee,Fighting,,455,50,120,53,87,1
Hitmonchan,Fighting,,455,50,105,79,76,1
Lickitung,Normal,,385,90,55,75,30,1
Koffing,Poison,,340,40,65,95,35,1
Weezing,Poison,,490,65,90,120,60,1
Rhyhorn,Ground,Rock,345,80,85,95,25,1
Rhydon,Ground,Rock,485,105,130,120,40,1
Chansey,Normal,,450,250,5,5,50,1
Tangela,Grass,,435,65,55,115,60,1
Kangaskhan,Normal,,490,105,95,80,90,1
KangaskhanMega Kangaskhan,Normal,,590,105,125,100,100,1
Horsea,Water,,295,30,40,70,60,1
Seadra,Water,,440,55,65,95,85,1
Goldeen,Water,,320,45,67,60,63,1
Seaking,Water,,450,80,92,65,68,1
Staryu,Water,,340,30,45,55,85,1
Starmie,Water,Psychic,520,60,75,85,115,1
Mr. Mime,Psychic,Fairy,460,40,45,65,90,1
Scyther,Bug,Flying,500,70,110,80,105,1
Jynx,Ice,Psychic,455,65,50,35,95,1
Electabuzz,Electric,,490,65,83,57,105,1
Magmar,Fire,,495,65,95,57,93,1
Pinsir,Bug,,500,65,125,100,85,1
PinsirMega Pinsir,Bug,Flying,600,65,155,120,105,1
Tauros,Normal,,490,75,100,95,110,1
Magikarp,Water,,200,20,10,55,80,1
Gyarados,Water,Flying,540,95,125,79,81,1
GyaradosMega Gyarados,Water,Dark,640,95,155,109,81,1
Lapras,Water,Ice,535,130,85,80,60,1
Ditto,Normal,,288,48,48,48,48,1
Eevee,Normal,,325,55,55,50,55,1
Vaporeon,Water,,525,130,65,60,65,1
Jolteon,Electric,,525,65,65,60,130,1
Flareon,Fire,,525,65,130,60,65,1
Porygon,Normal,,395,65,60,70,40,1
Omanyte,Rock,Water,355,35,40,100,35,1
Omastar,Rock,Water,495,70,60,125,55,1
Kabuto,Rock,Water,355,30,80,90,55,1
Kabutops,Rock,Water,495,60,115,105,80,1
Aerodactyl,Rock,Flying,515,80,105,65,130,1
AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,150,1
Snorlax,Normal,,540,160,110,65,30,1
Articuno,Ice,Flying,580,90,85,100,85,1
Zapdos,Electric,Flying,580,90,90,85,100,1
Moltres,Fire,Flying,580,90,100,90,90,1
Dratini,Dragon,,300,41,64,45,50,1
Dragonair,Dragon,,420,61,84,65,70,1
Dragonite,Dragon,Flying,600,91,134,95,80,1
Mewtwo,Psychic,,680,106,110,90,130,1
MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,130,1
MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,140,1
Mew,Psychic,,600,100,100,100,100,1
Chikorita,Grass,,318,45,49,65,45,2
Bayleef,Grass,,405,60,62,80,60,2
Meganium,Grass,,525,80,82,100,80,2
Cyndaquil,Fire,,309,39,52,43,65,2
Quilava,Fire,,405,58,64,58,80,2
Typhlosion,Fire,,534,78,84,78,100,2
Totodile,Water,,314,50,65,64,43,2
Croconaw,Water,,405,65,80,80,58,2
Feraligatr,Water,,530,85,105,100,78,2
Sentret,Normal,,215,35,46,34,20,2
Furret,Normal,,415,85,76,64,90,2
Hoothoot,Normal,Flying,262,60,30,30,50,2
Noctowl,Normal,Flying,442,100,50,50,70,2
Ledyba,Bug,Flying,265,40,20,30,55,2
Ledian,Bug,Flying,390,55,35,50,85,2
Spinarak,Bug,Poison,250,40,60,40,30,2
Ariados,Bug,Poison,390,70,90,70,40,2
Crobat,Poison,Flying,535,85,90,80,130,2
Chinchou,Water,Electric,330,75,38,38,67,2
Lanturn,Water,Electric,460,125,58,58,67,2
Pichu,Electric,,205,20,40,15,60,2
Cleffa,Fairy,,218,50,25,28,15,2
Igglybuff,Normal,Fairy,210,90,30,15,15,2
Togepi,Fairy,,245,35,20,65,20,2
Togetic,Fairy,Flying,405,55,40,85,40,2
Natu,Psychic,Flying,320,40,50,45,70,2
Xatu,Psychic,Flying,470,65,75,70,95,2
Mareep,Electric,,280,55,40,40,35,2
Flaaffy,Electric,,365,70,55,55,45,2
Ampharos,Electric,,510,90,75,85,55,2
AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,45,2
Bellossom,Grass,,490,75,80,95,50,2
Marill,Water,Fairy,250,70,20,50,40,2
Azumarill,Water,Fairy,420,100,50,80,50,2
Sudowoodo,Rock,,410,70,100,115,30,2
Politoed,Water,,500,90,75,75,70,2
Hoppip,Grass,Flying,250,35,35,40,50,2
Skiploom,Grass,Flying,340,55,45,50,80,2
Jumpluff,Grass,Flying,460,75,55,70,110,2
Aipom,Normal,,360,55,70,55,85,2
Sunkern,Grass,,180,30,30,30,30,2
Sunflora,Grass,,425,75,75,55,30,2
Yanma,Bug,Flying,390,65,65,45,95,2
Wooper,Water,Ground,210,55,45,45,15,2
Quagsire,Water,Ground,430,95,85,85,35,2
Espeon,Psychic,,525,65,65,60,110,2
Umbreon,Dark,,525,95,65,110,65,2
Murkrow,Dark,Flying,405,60,85,42,91,2
Slowking,Water,Psychic,490,95,75,80,30,2
Misdreavus,Ghost,,435,60,60,60,85,2
Unown,Psychic,,336,48,72,48,48,2
Wobbuffet,Psychic,,405,190,33,58,33,2
Girafarig,Normal,Psychic,455,70,80,65,85,2
Pineco,Bug,,290,50,65,90,15,2
Forretress,Bug,Steel,465,75,90,140,40,2
Dunsparce,Normal,,415,100,70,70,45,2
Gligar,Ground,Flying,430,65,75,105,85,2
Steelix,Steel,Ground,510,75,85,200,30,2
SteelixMega Steelix,Steel,Ground,610,75,125,230,30,2
Snubbull,Fairy,,300,60,80,50,30,2
Granbull,Fairy,,450,90,120,75,45,2
Qwilfish,Water,Poison,430,65,95,75,85,2
Scizor,Bug,Steel,500,70,130,100,65,2
ScizorMega Scizor,Bug,Steel,600,70,150,140,75,2
Shuckle,Bug,Rock,505,20,10,230,5,2
Heracross,Bug,Fighting,500,80,125,75,85,2
HeracrossMega Heracross,Bug,Fighting,600,80,185,115,75,2
Sneasel,Dark,Ice,430,55,95,55,115,2
Teddiursa,Normal,,330,60,80,50,40,2
Ursaring,Normal,,500,90,130,75,55,2
Slugma,Fire,,250,40,40,40,20,2
Magcargo,Fire,Rock,410,50,50,120,30,2
Swinub,Ice,Ground,250,50,50,40,50,2
Piloswine,Ice,Ground,450,100,100,80,50,2
Corsola,Water,Rock,380,55,55,85,35,2
Remoraid,Water,,300,35,65,35,65,2
Octillery,Water,,480,75,105,75,45,2
Delibird,Ice,Flying,330,45,55,45,75,2
Mantine,Water,Flying,465,65,40,70,70,2
Skarmory,Steel,Flying,465,65,80,140,70,2
Houndour,Dark,Fire,330,45,60,30,65,2
Houndoom,Dark,Fire,500,75,90,50,95,2
HoundoomMega Houndoom,Dark,Fire,600,75,90,90,115,2
Kingdra,Water,Dragon,540,75,95,95,85,2
Phanpy,Ground,,330,90,60,60,40,2
Donphan,Ground,,500,90,120,120,50,2
Porygon2,Normal,,515,85,80,90,60,2
Stantler,Normal,,465,73,95,62,85,2
Smeargle,Normal,,250,55,20,35,75,2
Tyrogue,Fighting,,210,35,35,35,35,2
Hitmontop,Fighting,,455,50,95,95,70,2
Smoochum,Ice,Psychic,305,45,30,15,65,2
Elekid,Electric,,360,45,63,37,95,2
Magby,Fire,,365,45,75,37,83,2
Miltank,Normal,,490,95,80,105,100,2
Blissey,Normal,,540,255,10,10,55,2
Raikou,Electric,,580,90,85,75,115,2
Entei,Fire,,580,115,115,85,100,2
Suicune,Water,,580,100,75,115,85,2
Larvitar,Rock,Ground,300,50,64,50,41,2
Pupitar,Rock,Ground,410,70,84,70,51,2
Tyranitar,Rock,Dark,600,100,134,110,61,2
TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,71,2
Lugia,Psychic,Flying,680,106,90,130,110,2
Ho-oh,Fire,Flying,680,106,130,90,90,2
Celebi,Psychic,Grass,600,100,100,100,100,2
Treecko,Grass,,310,40,45,35,70,3
Grovyle,Grass,,405,50,65,45,95,3
Sceptile,Grass,,530,70,85,65,120,3
SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,3
Torchic,Fire,,310,45,60,40,45,3
Combusken,Fire,Fighting,405,60,85,60,55,3
Blaziken,Fire,Fighting,530,80,120,70,80,3
BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,100,3
Mudkip,Water,,310,50,70,50,40,3
Marshtomp,Water,Ground,405,70,85,70,50,3
Swampert,Water,Ground,535,100,110,90,60,3
SwampertMega Swampert,Water,Ground,635,100,150,110,70,3
Poochyena,Dark,,220,35,55,35,35,3
Mightyena,Dark,,420,70,90,70,70,3
Zigzagoon,Normal,,240,38,30,41,60,3
Linoone,Normal,,420,78,70,61,100,3
Wurmple,Bug,,195,45,45,35,20,3
Silcoon,Bug,,205,50,35,55,15,3
Beautifly,Bug,Flying,395,60,70,50,65,3
Cascoon,Bug,,205,50,35,55,15,3
Dustox,Bug,Poison,385,60,50,70,65,3
Lotad,Water,Grass,220,40,30,30,30,3
Lombre,Water,Grass,340,60,50,50,50,3
Ludicolo,Water,Grass,480,80,70,70,70,3
Seedot,Grass,,220,40,40,50,30,3
Nuzleaf,Grass,Dark,340,70,70,40,60,3
Shiftry,Grass,Dark,480,90,100,60,80,3
Taillow,Normal,Flying,270,40,55,30,85,3
Swellow,Normal,Flying,430,60,85,60,125,3
Wingull,Water,Flying,270,40,30,30,85,3
Pelipper,Water,Flying,430,60,50,100,65,3
Ralts,Psychic,Fairy,198,28,25,25,40,3
Kirlia,Psychic,Fairy,278,38,35,35,50,3
Gardevoir,Psychic,Fairy,518,68,65,65,80,3
GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,100,3
Surskit,Bug,Water,269,40,30,32,65,3
Masquerain,Bug,Flying,414,70,60,62,60,3
Shroomish,Grass,,295,60,40,60,35,3
Breloom,Grass,Fighting,460,60,130,80,70,3
Slakoth,Normal,,280,60,60,60,30,3
Vigoroth,Normal,,440,80,80,80,90,3
Slaking,Normal,,670,150,160,100,100,3
Nincada,Bug,Ground,266,31,45,90,40,3
Ninjask,Bug,Flying,456,61,90,45,160,3
Shedinja,Bug,Ghost,236,1,90,45,40,3
Whismur,Normal,,240,64,51,23,28,3
Loudred,Normal,,360,84,71,43,48,3
Exploud,Normal,,490,104,91,63,68,3
Makuhita,Fighting,,237,72,60,30,25,3
Hariyama,Fighting,,474,144,120,60,50,3
Azurill,Normal,Fairy,190,50,20,40,20,3
Nosepass,Rock,,375,30,45,135,30,3
Skitty,Normal,,260,50,45,45,50,3
Delcatty,Normal,,380,70,65,65,70,3
Sableye,Dark,Ghost,380,50,75,75,50,3
SableyeMega Sableye,Dark,Ghost,480,50,85,125,20,3
Mawile,Steel,Fairy,380,50,85,85,50,3
MawileMega Mawile,Steel,Fairy,480,50,105,125,50,3
Aron,Steel,Rock,330,50,70,100,30,3
Lairon,Steel,Rock,430,60,90,140,40,3
Aggron,Steel,Rock,530,70,110,180,50,3
AggronMega Aggron,Steel,,630,70,140,230,50,3
Meditite,Fighting,Psychic,280,30,40,55,60,3
Medicham,Fighting,Psychic,410,60,60,75,80,3
MedichamMega Medicham,Fighting,Psychic,510,60,100,85,100,3
Electrike,Electric,,295,40,45,40,65,3
Manectric,Electric,,475,70,75,60,105,3
ManectricMega Manectric,Electric,,575,70,75,80,135,3
Plusle,Electric,,405,60,50,40,95,3
Minun,Electric,,405,60,40,50,95,3
Volbeat,Bug,,400,65,73,55,85,3
Illumise,Bug,,400,65,47,55,85,3
Roselia,Grass,Poison,400,50,60,45,65,3
Gulpin,Poison,,302,70,43,53,40,3
Swalot,Poison,,467,100,73,83,55,3
Carvanha,Water,Dark,305,45,90,20,65,3
Sharpedo,Water,Dark,460,70,120,40,95,3
SharpedoMega Sharpedo,Water,Dark,560,70,140,70,105,3
Wailmer,Water,,400,130,70,35,60,3
Wailord,Water,,500,170,90,45,60,3
Numel,Fire,Ground,305,60,60,40,35,3
Camerupt,Fire,Ground,460,70,100,70,40,3
CameruptMega Camerupt,Fire,Ground,560,70,120,100,20,3
Torkoal,Fire,,470,70,85,140,20,3
Spoink,Psychic,,330,60,25,35,60,3
Grumpig,Psychic,,470,80,45,65,80,3
Spinda,Normal,,360,60,60,60,60,3
Trapinch,Ground,,290,45,100,45,10,3
Vibrava,Ground,Dragon,340,50,70,50,70,3
Flygon,Ground,Dragon,520,80,100,80,100,3
Cacnea,Grass,,335,50,85,40,35,3
Cacturne,Grass,Dark,475,70,115,60,55,3
Swablu,Normal,Flying,310,45,40,60,50,3
Altaria,Dragon,Flying,490,75,70,90,80,3
AltariaMega Altaria,Dragon,Fairy,590,75,110,110,80,3
Zangoose,Normal,,458,73,115,60,90,3
Seviper,Poison,,458,73,100,60,65,3
Lunatone,Rock,Psychic,440,70,55,65,70,3
Solrock,Rock,Psychic,440,70,95,85,70,3
Barboach,Water,Ground,288,50,48,43,60,3
Whiscash,Water,Ground,468,110,78,73,60,3
Corphish,Water,,308,43,80,65,35,3
Crawdaunt,Water,Dark,468,63,120,85,55,3
Baltoy,Ground,Psychic,300,40,40,55,55,3
Claydol,Ground,Psychic,500,60,70,105,75,3
Lileep,Rock,Grass,355,66,41,77,23,3
Cradily,Rock,Grass,495,86,81,97,43,3
Anorith,Rock,Bug,355,45,95,50,75,3
Armaldo,Rock,Bug,495,75,125,100,45,3
Feebas,Water,,200,20,15,20,80,3
Milotic,Water,,540,95,60,79,81,3
Castform,Normal,,420,70,70,70,70,3
Kecleon,Normal,,440,60,90,70,40,3
Shuppet,Ghost,,295,44,75,35,45,3
Banette,Ghost,,455,64,115,65,65,3
BanetteMega Banette,Ghost,,555,64,165,75,75,3
Duskull,Ghost,,295,20,40,90,25,3
Dusclops,Ghost,,455,40,70,130,25,3
Tropius,Grass,Flying,460,99,68,83,51,3
Chimecho,Psychic,,425,65,50,70,65,3
Absol,Dark,,465,65,130,60,75,3
AbsolMega Absol,Dark,,565,65,150,60,115,3
Wynaut,Psychic,,260,95,23,48,23,3
Snorunt,Ice,,300,50,50,50,50,3
Glalie,Ice,,480,80,80,80,80,3
GlalieMega Glalie,Ice,,580,80,120,80,100,3
Spheal,Ice,Water,290,70,40,50,25,3
Sealeo,Ice,Water,410,90,60,70,45,3
Walrein,Ice,Water,530,110,80,90,65,3
Clamperl,Water,,345,35,64,85,32,3
Huntail,Water,,485,55,104,105,52,3
Gorebyss,Water,,485,55,84,105,52,3
Relicanth,Water,Rock,485,100,90,130,55,3
Luvdisc,Water,,330,43,30,55,97,3
Bagon,Dragon,,300,45,75,60,50,3
